1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour allergie,Taux d'hospitalisations après passages aux urgences pour allergie,Taux d'actes médicaux SOS médecins pour allergie
2023-05-22,2023-S21,27,Bourgogne et Franche-Comté,00-14 ans,1915.4228856,578.03468208,6823.5294118
2023-05-22,2023-S21,27,Bourgogne et Franche-Comté,15-64 ans,1094.8054973,649.35064935,5163.7279597
2023-05-29,2023-S22,27,Bourgogne et Franche-Comté,00-14 ans,2153.1100478,275.48209366,8180.8396125
2023-05-29,2023-S22,27,Bourgogne et Franche-Comté,Tous âges,1333.1054521,317.36872475,8665.2690426
2023-06-05,2023-S23,27,Bourgogne et Franche-Comté,15-64 ans,1274.9003984,687.02290076,6864.064603
2023-06-12,2023-S24,27,Bourgogne et Franche-Comté,15-64 ans,1269.7705502,651.70166546,4018.7541862
2023-06-12,2023-S24,27,Bourgogne et Franche-Comté,65 ans ou plus,865.69957885,389.10505837,2836.8794326
2023-07-03,2023-S27,27,Bourgogne et Franche-Comté,65 ans ou plus,605.49604099,494.50549451,684.93150685
2023-07-03,2023-S27,27,Bourgogne et Franche-Comté,Tous âges,1248.4394507,842.53341081,2156.5495208
2023-07-10,2023-S28,27,Bourgogne et Franche-Comté,Tous âges,1386.6761079,574.05281286,2300.0707714
2023-07-17,2023-S29,27,Bourgogne et Franche-Comté,00-14 ans,1824.6985989,2047.78157,2652.1060842
2023-07-31,2023-S31,27,Bourgogne et Franche-Comté,00-14 ans,1444.7481453,892.85714286,2109.7046414
2023-07-31,2023-S31,27,Bourgogne et Franche-Comté,15-64 ans,1218.6955939,610.28770706,1050.558109
2023-07-31,2023-S31,27,Bourgogne et Franche-Comté,65 ans ou plus,800.0,167.87912703,1574.8031496
2023-07-31,2023-S31,27,Bourgogne et Franche-Comté,Tous âges,1134.6126909,379.98733376,1384.2281879
2023-08-07,2023-S32,27,Bourgogne et Franche-Comté,Tous âges,1257.3119075,712.58907363,1580.8674503
2023-08-21,2023-S34,27,Bourgogne et Franche-Comté,00-14 ans,1823.8128011,716.84587814,2317.2905526
2023-08-21,2023-S34,27,Bourgogne et Franche-Comté,15-64 ans,1531.6778835,1263.8230648,1649.0765172
2023-08-28,2023-S35,27,Bourgogne et Franche-Comté,00-14 ans,1492.0071048,749.06367041,2805.2805281
2023-09-04,2023-S36,27,Bourgogne et Franche-Comté,00-14 ans,1279.5275591,303.95136778,2089.5522388
2023-09-18,2023-S38,27,Bourgogne et Franche-Comté,65 ans ou plus,498.57549858,109.70927043,1538.4615385
2023-09-25,2023-S39,27,Bourgogne et Franche-Comté,00-14 ans,1536.8852459,0.0,1374.5704467
2023-09-25,2023-S39,27,Bourgogne et Franche-Comté,15-64 ans,1059.9883518,920.95165004,943.92004442
2023-09-25,2023-S39,27,Bourgogne et Franche-Comté,65 ans ou plus,430.25362319,410.67761807,1071.4285714
2023-10-02,2023-S40,27,Bourgogne et Franche-Comté,00-14 ans,1532.8656794,0.0,1059.3220339
2023-10-16,2023-S42,27,Bourgogne et Franche-Comté,Tous âges,828.14483467,363.12849162,1286.2918045
2023-10-23,2023-S43,27,Bourgogne et Franche-Comté,Tous âges,908.18694067,426.86397268,884.37602358
2023-10-30,2023-S44,27,Bourgogne et Franche-Comté,00-14 ans,1532.5670498,386.1003861,1086.9565217
2023-10-30,2023-S44,27,Bourgogne et Franche-Comté,65 ans ou plus,313.19910515,104.32968179,1123.5955056
2023-11-06,2023-S45,27,Bourgogne et Franche-Comté,00-14 ans,1597.2439712,1342.2818792,2031.6027088
2023-11-06,2023-S45,27,Bourgogne et Franche-Comté,65 ans ou plus,234.74178404,54.436581383,308.64197531
2023-11-13,2023-S46,27,Bourgogne et Franche-Comté,15-64 ans,543.2036382,157.2327044,888.88888889
2023-11-13,2023-S46,27,Bourgogne et Franche-Comté,65 ans ou plus,163.01816488,104.60251046,1006.7114094
2023-11-20,2023-S47,27,Bourgogne et Franche-Comté,65 ans ou plus,341.63006345,162.07455429,313.47962382
2023-11-20,2023-S47,27,Bourgogne et Franche-Comté,Tous âges,727.31995584,333.83915023,713.87778412
2023-12-04,2023-S49,27,Bourgogne et Franche-Comté,00-14 ans,1326.6239707,237.52969121,768.04915515
2023-12-11,2023-S50,27,Bourgogne et Franche-Comté,15-64 ans,787.10168846,427.35042735,1070.5596107
2023-12-11,2023-S50,27,Bourgogne et Franche-Comté,65 ans ou plus,383.74717833,49.776007964,0.0
2023-12-18,2023-S51,27,Bourgogne et Franche-Comté,65 ans ou plus,152.53867945,92.980009298,522.19321149
2023-12-25,2023-S52,27,Bourgogne et Franche-Comté,15-64 ans,991.09271108,343.34763948,1458.0191051
2023-12-25,2023-S52,27,Bourgogne et Franche-Comté,65 ans ou plus,357.42652899,272.85129604,221.72949002
2023-12-25,2023-S52,27,Bourgogne et Franche-Comté,Tous âges,950.90794524,395.15279241,1116.8618905
2024-01-01,2024-S01,27,Bourgogne et Franche-Comté,00-14 ans,2115.6558533,536.19302949,1479.2899408
2024-01-22,2024-S04,27,Bourgogne et Franche-Comté,15-64 ans,718.81091618,491.4004914,846.32516704
2024-01-29,2024-S05,27,Bourgogne et Franche-Comté,15-64 ans,608.0913378,318.47133758,309.87162461
2024-01-29,2024-S05,27,Bourgogne et Franche-Comté,Tous âges,813.54309984,254.02201524,495.95405899
2024-02-05,2024-S06,27,Bourgogne et Franche-Comté,00-14 ans,1398.7617519,763.35877863,1113.0136986
2024-02-05,2024-S06,27,Bourgogne et Franche-Comté,15-64 ans,531.412376,302.34315949,752.23319229
2024-02-12,2024-S07,27,Bourgogne et Franche-Comté,15-64 ans,771.04837707,575.65789474,958.60566449
2024-03-18,2024-S12,27,Bourgogne et Franche-Comté,00-14 ans,1041.9250806,0.0,3047.0914127
2024-03-25,2024-S13,27,Bourgogne et Franche-Comté,00-14 ans,1808.0297793,1156.0693642,1379.9448022
2024-04-08,2024-S15,27,Bourgogne et Franche-Comté,15-64 ans,872.70913851,549.88216811,2848.2651476
2024-04-08,2024-S15,27,Bourgogne et Franche-Comté,Tous âges,876.06444894,336.7003367,3020.8657739
2024-04-15,2024-S16,27,Bourgogne et Franche-Comté,15-64 ans,733.59073359,319.48881789,3493.0139721
2024-04-15,2024-S16,27,Bourgogne et Franche-Comté,Tous âges,789.28168734,265.48672566,3353.6585366
2024-04-22,2024-S17,27,Bourgogne et Franche-Comté,00-14 ans,1007.8023407,335.5704698,2392.9471033
2024-04-29,2024-S18,27,Bourgogne et Franche-Comté,65 ans ou plus,275.41886619,101.7293998,1290.3225806
2024-05-06,2024-S19,27,Bourgogne et Franche-Comté,65 ans ou plus,403.58744395,161.37708445,1049.8687664
2024-05-13,2024-S20,27,Bourgogne et Franche-Comté,00-14 ans,1787.1017871,576.36887608,4426.7877412
2024-05-13,2024-S20,27,Bourgogne et Franche-Comté,65 ans ou plus,360.44154089,316.28887717,0.0
2024-05-20,2024-S21,27,Bourgogne et Franche-Comté,65 ans ou plus,301.20481928,54.318305269,1694.9152542
2024-06-03,2024-S23,27,Bourgogne et Franche-Comté,15-64 ans,1055.2451893,790.16681299,4731.5257842
2024-06-03,2024-S23,27,Bourgogne et Franche-Comté,65 ans ou plus,362.23134509,271.59152634,1474.9262537
2024-06-10,2024-S24,27,Bourgogne et Franche-Comté,65 ans ou plus,409.73728609,56.785917093,1071.4285714
2024-06-10,2024-S24,27,Bourgogne et Franche-Comté,Tous âges,882.09715493,242.35080279,3933.1062248
