1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour bronchiolite,Taux d'hospitalisations après passages aux urgences pour bronchiolite,Taux d'actes médicaux SOS médecins pour bronchiolite
2019-12-30,2020-S01,01,Guadeloupe,0 an,19444.444444,47368.421053,
2020-01-13,2020-S03,01,Guadeloupe,0 an,12500.0,16666.666667,
2020-01-20,2020-S04,01,Guadeloupe,0 an,16071.428571,20000.0,
2020-02-03,2020-S06,01,Guadeloupe,0 an,13265.306122,27272.727273,
2020-03-16,2020-S12,01,Guadeloupe,0 an,12195.121951,20000.0,
2020-03-23,2020-S13,01,Guadeloupe,0 an,11538.461538,14285.714286,
2020-04-27,2020-S18,01,Guadeloupe,0 an,2702.7027027,0.0,
2020-06-01,2020-S23,01,Guadeloupe,0 an,2941.1764706,20000.0,
2020-07-13,2020-S29,01,Guadeloupe,0 an,10416.666667,25000.0,
2020-07-20,2020-S30,01,Guadeloupe,0 an,6122.4489796,0.0,
2020-07-27,2020-S31,01,Guadeloupe,0 an,0.0,0.0,
2020-08-10,2020-S33,01,Guadeloupe,0 an,7142.8571429,16666.666667,
2020-08-17,2020-S34,01,Guadeloupe,0 an,0.0,0.0,
2020-09-07,2020-S37,01,Guadeloupe,0 an,3571.4285714,0.0,
2020-09-28,2020-S40,01,Guadeloupe,0 an,4761.9047619,0.0,
2020-10-05,2020-S41,01,Guadeloupe,0 an,5660.3773585,0.0,
2020-11-02,2020-S45,01,Guadeloupe,0 an,1886.7924528,0.0,
2020-11-16,2020-S47,01,Guadeloupe,0 an,5660.3773585,15384.615385,
2020-11-23,2020-S48,01,Guadeloupe,0 an,4225.3521127,11111.111111,
2020-12-28,2020-S53,01,Guadeloupe,0 an,1470.5882353,0.0,
2021-01-18,2021-S03,01,Guadeloupe,0 an,6818.1818182,0.0,
2021-01-25,2021-S04,01,Guadeloupe,0 an,15217.391304,60000.0,
2021-03-01,2021-S09,01,Guadeloupe,0 an,12962.962963,18181.818182,
2021-03-08,2021-S10,01,Guadeloupe,0 an,13432.835821,25000.0,
2021-03-29,2021-S13,01,Guadeloupe,0 an,10714.285714,16666.666667,
2021-04-19,2021-S16,01,Guadeloupe,0 an,15789.473684,30769.230769,
2021-04-26,2021-S17,01,Guadeloupe,0 an,13636.363636,30000.0,
2021-05-03,2021-S18,01,Guadeloupe,0 an,2380.952381,0.0,
2021-05-10,2021-S19,01,Guadeloupe,0 an,17741.935484,11111.111111,
2021-06-07,2021-S23,01,Guadeloupe,0 an,9090.9090909,11111.111111,
2021-07-05,2021-S27,01,Guadeloupe,0 an,11235.955056,33333.333333,
2021-07-26,2021-S30,01,Guadeloupe,0 an,4597.7011494,0.0,
2021-08-02,2021-S31,01,Guadeloupe,0 an,6930.6930693,12500.0,
2021-08-16,2021-S33,01,Guadeloupe,0 an,2469.1358025,0.0,
2021-08-23,2021-S34,01,Guadeloupe,0 an,2040.8163265,9090.9090909,
2021-08-30,2021-S35,01,Guadeloupe,0 an,4615.3846154,17647.058824,
2021-10-04,2021-S40,01,Guadeloupe,0 an,5357.1428571,11111.111111,
2021-10-18,2021-S42,01,Guadeloupe,0 an,6250.0,18181.818182,
2021-10-25,2021-S43,01,Guadeloupe,0 an,10101.010101,45454.545455,
2021-11-15,2021-S46,01,Guadeloupe,0 an,23255.813953,60000.0,
2021-11-22,2021-S47,01,Guadeloupe,0 an,22448.979592,52631.578947,
2021-12-13,2021-S50,01,Guadeloupe,0 an,23157.894737,38888.888889,
2022-01-10,2022-S02,01,Guadeloupe,0 an,20952.380952,35294.117647,
2022-01-31,2022-S05,01,Guadeloupe,0 an,16000.0,29411.764706,
2022-02-21,2022-S08,01,Guadeloupe,0 an,21052.631579,27272.727273,
2022-05-02,2022-S18,01,Guadeloupe,0 an,3333.3333333,0.0,
2022-05-09,2022-S19,01,Guadeloupe,0 an,13636.363636,21428.571429,
2022-06-20,2022-S25,01,Guadeloupe,0 an,4545.4545455,0.0,
2022-07-25,2022-S30,01,Guadeloupe,0 an,9677.4193548,16666.666667,
2022-09-05,2022-S36,01,Guadeloupe,0 an,9090.9090909,0.0,
2022-10-03,2022-S40,01,Guadeloupe,0 an,27559.055118,56250.0,
2022-10-17,2022-S42,01,Guadeloupe,0 an,26618.705036,56000.0,
2022-10-24,2022-S43,01,Guadeloupe,0 an,31382.978723,65384.615385,
2022-12-26,2022-S52,01,Guadeloupe,0 an,18644.067797,30769.230769,
