1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour bronchite,Taux d'hospitalisations après passages aux urgences pour bronchite,Taux d'actes médicaux SOS médecins pour bronchite
2021-05-10,2021-S19,84,Auvergne et Rhône-Alpes,15-64 ans,104.94752624,151.4004542,912.1709669
2021-05-17,2021-S20,84,Auvergne et Rhône-Alpes,00-04 ans,360.71032186,234.74178404,2459.0163934
2021-05-31,2021-S22,84,Auvergne et Rhône-Alpes,00-04 ans,386.56680358,215.98272138,3437.2501998
2021-05-31,2021-S22,84,Auvergne et Rhône-Alpes,65 ans ou plus,239.75339651,325.64450475,1320.9013209
2021-06-07,2021-S23,84,Auvergne et Rhône-Alpes,00-04 ans,341.04750305,464.03712297,2269.2889561
2021-06-07,2021-S23,84,Auvergne et Rhône-Alpes,05-14 ans,233.52793995,256.41025641,1769.9115044
2021-06-14,2021-S24,84,Auvergne et Rhône-Alpes,00-04 ans,429.86425339,206.61157025,3069.2362598
2021-06-14,2021-S24,84,Auvergne et Rhône-Alpes,15-64 ans,121.33547301,168.12373907,1012.2921186
2021-06-14,2021-S24,84,Auvergne et Rhône-Alpes,65 ans ou plus,259.57170668,334.79268607,1139.8176292
2021-06-28,2021-S26,84,Auvergne et Rhône-Alpes,15-64 ans,146.26416934,145.08523758,1465.5593552
2021-06-28,2021-S26,84,Auvergne et Rhône-Alpes,65 ans ou plus,151.11007788,114.35105775,2045.8265139
2021-06-28,2021-S26,84,Auvergne et Rhône-Alpes,Tous âges,180.06918448,143.08198598,1674.7988923
2021-07-05,2021-S27,84,Auvergne et Rhône-Alpes,15-64 ans,176.22624093,112.69722014,1471.3094654
2021-07-12,2021-S28,84,Auvergne et Rhône-Alpes,00-04 ans,443.13146233,471.69811321,3320.754717
2021-07-12,2021-S28,84,Auvergne et Rhône-Alpes,05-14 ans,165.01650165,0.0,3079.4165316
2021-07-12,2021-S28,84,Auvergne et Rhône-Alpes,65 ans ou plus,250.54466231,243.30900243,3568.7732342
2021-07-26,2021-S30,84,Auvergne et Rhône-Alpes,05-14 ans,107.58472297,0.0,1134.2155009
