1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19
2019-12-30,2020-S01,01,Guadeloupe,00-04 ans,0.0,0.0,
2019-12-30,2020-S01,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-01-06,2020-S02,01,Guadeloupe,Tous âges,0.0,0.0,
2020-01-13,2020-S03,01,Guadeloupe,Tous âges,0.0,0.0,
2020-01-20,2020-S04,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-01-20,2020-S04,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-01-20,2020-S04,01,Guadeloupe,Tous âges,0.0,0.0,
2020-01-27,2020-S05,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-01-27,2020-S05,01,Guadeloupe,Tous âges,0.0,0.0,
2020-02-03,2020-S06,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-02-03,2020-S06,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-02-03,2020-S06,01,Guadeloupe,15-64 ans,0.0,0.0,
2020-02-10,2020-S07,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-02-17,2020-S08,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2020-02-24,2020-S09,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-03-09,2020-S11,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-03-09,2020-S11,01,Guadeloupe,15-64 ans,0.0,0.0,
2020-03-09,2020-S11,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2020-03-23,2020-S13,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-03-23,2020-S13,01,Guadeloupe,65 ans ou plus,2272.7272727,4347.826087,
2020-03-30,2020-S14,01,Guadeloupe,00-04 ans,5970.1492537,0.0,
2020-03-30,2020-S14,01,Guadeloupe,15-64 ans,4517.1339564,12631.578947,
2020-03-30,2020-S14,01,Guadeloupe,Tous âges,5120.4819277,9389.6713615,
2020-04-06,2020-S15,01,Guadeloupe,15-64 ans,5235.6020942,8333.3333333,
2020-04-13,2020-S16,01,Guadeloupe,05-14 ans,1408.4507042,0.0,
2020-04-13,2020-S16,01,Guadeloupe,15-64 ans,3735.1443124,9333.3333333,
2020-04-20,2020-S17,01,Guadeloupe,00-04 ans,1234.5679012,0.0,
2020-04-20,2020-S17,01,Guadeloupe,15-64 ans,2912.6213592,3921.5686275,
2020-04-27,2020-S18,01,Guadeloupe,00-04 ans,1098.9010989,0.0,
2020-05-04,2020-S19,01,Guadeloupe,65 ans ou plus,1034.4827586,2727.2727273,
2020-05-11,2020-S20,01,Guadeloupe,05-14 ans,1010.1010101,0.0,
2020-05-18,2020-S21,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-05-25,2020-S22,01,Guadeloupe,Tous âges,497.51243781,374.53183521,
2020-06-01,2020-S23,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-06-08,2020-S24,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-06-15,2020-S25,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2020-06-22,2020-S26,01,Guadeloupe,15-64 ans,0.0,0.0,
2020-06-22,2020-S26,01,Guadeloupe,Tous âges,0.0,0.0,
2020-07-06,2020-S28,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-07-06,2020-S28,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-07-20,2020-S30,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-07-20,2020-S30,01,Guadeloupe,15-64 ans,0.0,0.0,
2020-07-27,2020-S31,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-07-27,2020-S31,01,Guadeloupe,15-64 ans,209.42408377,0.0,
2020-07-27,2020-S31,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2020-07-27,2020-S31,01,Guadeloupe,Tous âges,125.78616352,0.0,
2020-08-03,2020-S32,01,Guadeloupe,Tous âges,124.37810945,0.0,
2020-08-10,2020-S33,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-08-10,2020-S33,01,Guadeloupe,05-14 ans,0.0,0.0,
2020-08-24,2020-S35,01,Guadeloupe,00-04 ans,0.0,0.0,
2020-08-24,2020-S35,01,Guadeloupe,Tous âges,3966.189857,8664.2599278,
2020-08-31,2020-S36,01,Guadeloupe,05-14 ans,4697.9865772,6666.6666667,
2020-08-31,2020-S36,01,Guadeloupe,65 ans ou plus,8761.3293051,18269.230769,
2020-09-14,2020-S38,01,Guadeloupe,05-14 ans,1845.0184502,0.0,
2020-09-21,2020-S39,01,Guadeloupe,05-14 ans,460.82949309,0.0,
2020-09-28,2020-S40,01,Guadeloupe,00-04 ans,2777.7777778,9090.9090909,
2020-10-05,2020-S41,01,Guadeloupe,00-04 ans,0.0,0.0,
