1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour gastro-entérite aiguë,Taux d'hospitalisations après passages aux urgences pour gastro-entérite aiguë,Taux d'actes médicaux SOS médecins pour gastro-entérite aiguë
2022-09-12,2022-S37,28,Normandie,00-14 ans,2597.1411315,3155.3398058,7036.4663585
2022-09-19,2022-S38,28,Normandie,Tous âges,931.53703611,567.5368899,5762.9575933
2022-10-31,2022-S44,28,Normandie,65 ans ou plus,360.62791684,281.37310073,383.87715931
2022-10-31,2022-S44,28,Normandie,Tous âges,1051.5247108,522.696011,4733.0960854
2022-11-14,2022-S46,28,Normandie,15-64 ans,438.4002863,307.69230769,7599.8798438
2022-11-21,2022-S47,28,Normandie,15-64 ans,551.08862589,484.26150121,5841.9243986
2022-12-05,2022-S49,28,Normandie,Tous âges,1070.901034,572.42409159,5540.7801418
2022-12-12,2022-S50,28,Normandie,15-64 ans,425.26800744,79.6812749,5219.6382429
2022-12-19,2022-S51,28,Normandie,15-64 ans,409.36785986,394.01103231,3856.1151079
2023-01-09,2023-S02,28,Normandie,00-14 ans,3877.925654,3058.8235294,16186.635945
2023-01-09,2023-S02,28,Normandie,65 ans ou plus,412.65474553,354.60992908,3198.2942431
2023-01-09,2023-S02,28,Normandie,Tous âges,1373.2833958,751.47611379,13029.935975
2023-01-16,2023-S03,28,Normandie,00-14 ans,2335.600907,2398.0815348,15069.911963
2023-01-23,2023-S04,28,Normandie,00-14 ans,3289.0940565,2914.7982063,14549.878345
2023-01-23,2023-S04,28,Normandie,15-64 ans,601.86578393,144.40433213,13701.923077
2023-01-23,2023-S04,28,Normandie,Tous âges,1277.6960909,558.21371611,13348.299085
2023-01-30,2023-S05,28,Normandie,00-14 ans,4164.3428146,4338.3947939,15388.191539
2023-01-30,2023-S05,28,Normandie,65 ans ou plus,465.90427785,252.27043391,4987.5311721
2023-02-06,2023-S06,28,Normandie,15-64 ans,625.85034014,281.88865398,13582.855418
2023-02-06,2023-S06,28,Normandie,65 ans ou plus,359.71223022,264.27061311,4591.8367347
