Année,Région Code,Région,Classe d'âge,Sexe,Taux de passages aux urgences pour gestes auto infligés
2020,01,Guadeloupe,25-44 ans,Hommes,473.661547294388
2020,01,Guadeloupe,45-64 ans,Hommes,205.973223480947
2020,01,Guadeloupe,65 ans et plus,Hommes,128.911285597094
2020,01,Guadeloupe,Tous,Hommes,292.351033859565
2020,01,Guadeloupe,11-17 ans,Femmes,875.190258751902
2020,01,Guadeloupe,25-44 ans,Femmes,370.828182941904
2020,01,Guadeloupe,00-10 ans,Hommes et Femmes,357.412880610351
2020,01,Guadeloupe,45-64 ans,Hommes et Femmes,294.93198507283
2020,01,Guadeloupe,65 ans et plus,Hommes et Femmes,166.30736064059099
2021,01,Guadeloupe,00-10 ans,Hommes,171.96904557179698
2021,01,Guadeloupe,18-24 ans,Hommes,490.396403759706
2021,01,Guadeloupe,65 ans et plus,Hommes,86.4838151717321
2021,01,Guadeloupe,Tous,Hommes,203.101920236337
2021,01,Guadeloupe,00-10 ans,Femmes,292.70888770622696
2021,01,Guadeloupe,25-44 ans,Femmes,402.93040293040303
2021,01,Guadeloupe,45-64 ans,Femmes,461.011591148577
2021,01,Guadeloupe,65 ans et plus,Femmes,132.362673726009
2021,01,Guadeloupe,00-10 ans,Hommes et Femmes,225.92152199762202
2021,01,Guadeloupe,11-17 ans,Hommes et Femmes,979.216626698641
2021,01,Guadeloupe,45-64 ans,Hommes et Femmes,283.792954531433
2021,01,Guadeloupe,65 ans et plus,Hommes et Femmes,108.61231791464301
2021,01,Guadeloupe,Tous,Hommes et Femmes,333.613499709058
2022,01,Guadeloupe,25-44 ans,Hommes,382.96568627451
2022,01,Guadeloupe,65 ans et plus,Hommes,72.85974499089251
2022,01,Guadeloupe,25-44 ans,Femmes,520.997789706347
2022,01,Guadeloupe,00-10 ans,Hommes et Femmes,247.68824306472902
2022,01,Guadeloupe,65 ans et plus,Hommes et Femmes,124.82836100362
2023,01,Guadeloupe,00-10 ans,Hommes,199.044585987261
2023,01,Guadeloupe,11-17 ans,Hommes,89.4187779433681
2023,01,Guadeloupe,45-64 ans,Hommes,106.752068321324
2023,01,Guadeloupe,Tous,Hommes,157.321599764018
2023,01,Guadeloupe,11-17 ans,Femmes,1221.99592668024
2023,01,Guadeloupe,45-64 ans,Femmes,452.20645563698696
2024,01,Guadeloupe,18-24 ans,Hommes,458.715596330275
2024,01,Guadeloupe,18-24 ans,Femmes,1648.95566141444
2024,01,Guadeloupe,45-64 ans,Femmes,498.614958448753
2024,01,Guadeloupe,65 ans et plus,Hommes et Femmes,124.33776624499899
2020,02,Martinique,45-64 ans,Hommes,
2020,02,Martinique,65 ans et plus,Hommes,
2020,02,Martinique,00-10 ans,Femmes,
2020,02,Martinique,11-17 ans,Femmes,
2020,02,Martinique,45-64 ans,Femmes,
2020,02,Martinique,11-17 ans,Hommes et Femmes,
2020,02,Martinique,25-44 ans,Hommes et Femmes,
2021,02,Martinique,Tous,Hommes,
