1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour grippe,Taux d'hospitalisations après passages aux urgences pour grippe,Taux d'actes médicaux SOS médecins pour grippe
2022-06-13,2022-S24,11,Île-de-France,15-64 ans,256.85988787,51.652892562,1849.4897959
2022-06-20,2022-S25,11,Île-de-France,15-64 ans,349.38621341,50.517807527,1512.8593041
2022-06-20,2022-S25,11,Île-de-France,65 ans ou plus,96.508159326,50.415931434,550.20632737
2022-06-27,2022-S26,11,Île-de-France,65 ans ou plus,36.13369467,25.342118601,1089.3246187
2022-06-27,2022-S26,11,Île-de-France,Tous âges,250.31289111,21.949078139,1452.6569321
2022-07-04,2022-S27,11,Île-de-France,Tous âges,275.99299065,22.668026748,1192.3196036
2022-07-11,2022-S28,11,Île-de-France,Tous âges,208.71459036,35.549235691,648.1096801
2022-07-18,2022-S29,11,Île-de-France,Tous âges,171.45913295,46.893317702,702.24719101
2022-07-25,2022-S30,11,Île-de-France,15-64 ans,210.95890411,0.0,752.92252823
2022-07-25,2022-S30,11,Île-de-France,Tous âges,164.02677447,62.492188476,708.77631853
2022-08-01,2022-S31,11,Île-de-France,15-64 ans,175.10661734,59.29439668,627.53036437
2022-08-08,2022-S32,11,Île-de-France,15-64 ans,228.49540117,96.33911368,585.74025449
2024-04-15,2024-S16,11,Île-de-France,Tous âges,289.33528233,60.174506068,1776.0236803
2024-04-22,2024-S17,11,Île-de-France,05-14 ans,227.53128555,153.13935681,1909.1847265
2024-04-29,2024-S18,11,Île-de-France,65 ans ou plus,219.79747233,198.19423035,846.35416667
2024-05-13,2024-S20,11,Île-de-France,00-04 ans,352.90343279,113.76564278,957.70151636
2024-05-13,2024-S20,11,Île-de-France,15-64 ans,392.06849932,112.99435028,2301.7193566
2024-05-13,2024-S20,11,Île-de-France,Tous âges,312.303204,104.29506021,1859.1507399
2024-05-20,2024-S21,11,Île-de-France,05-14 ans,194.51648759,0.0,1452.991453
