1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour pathologies ORL,Taux d'hospitalisations après passages aux urgences pour pathologies ORL,Taux d'actes médicaux SOS médecins pour pathologies ORL
2024-08-05,2024-S32,03,Guyane,00-14 ans,13541.666667,5882.3529412,
2024-08-12,2024-S33,03,Guyane,00-14 ans,13567.839196,5555.5555556,
2024-08-26,2024-S35,03,Guyane,15-64 ans,3106.2124248,0.0,
2024-09-02,2024-S36,03,Guyane,15-64 ans,2027.7481323,606.06060606,
2024-09-02,2024-S36,03,Guyane,65 ans ou plus,724.63768116,0.0,
2024-09-09,2024-S37,03,Guyane,65 ans ou plus,0.0,0.0,
2024-09-09,2024-S37,03,Guyane,Tous âges,4492.7536232,414.93775934,
2024-09-16,2024-S38,03,Guyane,00-14 ans,14361.702128,2380.952381,
2024-09-23,2024-S39,03,Guyane,15-64 ans,2626.2626263,0.0,
2024-09-30,2024-S40,03,Guyane,65 ans ou plus,628.93081761,3030.3030303,
2024-09-30,2024-S40,03,Guyane,Tous âges,5719.3396226,2666.6666667,
2020-09-28,2020-S40,04,Réunion,65 ans ou plus,208.76826722,0.0,
2020-09-28,2020-S40,04,Réunion,Tous âges,2595.9367946,805.36912752,
2020-10-05,2020-S41,04,Réunion,Tous âges,2079.5330171,791.55672823,
2020-10-12,2020-S42,04,Réunion,00-14 ans,7352.9411765,4347.826087,
2020-10-19,2020-S43,04,Réunion,00-14 ans,5756.9296375,4109.5890411,
2020-10-19,2020-S43,04,Réunion,65 ans ou plus,201.20724346,0.0,
2020-10-26,2020-S44,04,Réunion,00-14 ans,5753.968254,2325.5813953,
2020-11-02,2020-S45,04,Réunion,Tous âges,1984.2755522,135.31799729,
2020-11-09,2020-S46,04,Réunion,00-14 ans,10054.844607,4166.6666667,
2020-11-16,2020-S47,04,Réunion,Tous âges,2449.2920015,701.26227209,
2020-11-23,2020-S48,04,Réunion,15-64 ans,810.9794136,255.10204082,
2020-11-30,2020-S49,04,Réunion,00-14 ans,8485.8569052,4651.1627907,
2020-12-14,2020-S51,04,Réunion,15-64 ans,1059.8503741,241.54589372,
2020-12-21,2020-S52,04,Réunion,15-64 ans,742.57425743,527.70448549,
2020-12-21,2020-S52,04,Réunion,Tous âges,2225.4651587,392.67015707,
2020-12-28,2020-S53,04,Réunion,15-64 ans,481.05832832,0.0,
2021-01-11,2021-S02,04,Réunion,00-14 ans,6264.5011601,1538.4615385,
2021-01-11,2021-S02,04,Réunion,65 ans ou plus,344.82758621,401.6064257,
2021-01-25,2021-S04,04,Réunion,65 ans ou plus,350.87719298,0.0,
2021-01-25,2021-S04,04,Réunion,Tous âges,1829.6739854,371.28712871,
2021-02-01,2021-S05,04,Réunion,15-64 ans,582.93587705,0.0,
2021-02-01,2021-S05,04,Réunion,Tous âges,1627.6041667,248.44720497,
2021-02-08,2021-S06,04,Réunion,65 ans ou plus,193.79844961,0.0,
2021-02-08,2021-S06,04,Réunion,Tous âges,2064.0569395,262.4671916,
2021-03-01,2021-S09,04,Réunion,15-64 ans,341.29692833,236.40661939,
2021-03-01,2021-S09,04,Réunion,65 ans ou plus,490.19607843,349.65034965,
2021-03-08,2021-S10,04,Réunion,00-14 ans,8907.5630252,0.0,
2021-03-22,2021-S12,04,Réunion,65 ans ou plus,0.0,0.0,
2021-03-29,2021-S13,04,Réunion,00-14 ans,7801.4184397,1438.8489209,
2021-04-05,2021-S14,04,Réunion,15-64 ans,827.30093071,0.0,
2021-04-26,2021-S17,04,Réunion,00-14 ans,11185.682327,4419.8895028,
2021-05-03,2021-S18,04,Réunion,Tous âges,2682.3134954,829.87551867,
2021-05-10,2021-S19,04,Réunion,15-64 ans,914.78093404,199.6007984,
2021-05-17,2021-S20,04,Réunion,65 ans ou plus,143.88489209,0.0,
2021-05-17,2021-S20,04,Réunion,Tous âges,1947.5250203,321.88841202,
2021-05-24,2021-S21,04,Réunion,00-14 ans,7211.5384615,2976.1904762,
2021-05-31,2021-S22,04,Réunion,65 ans ou plus,0.0,0.0,
2021-06-07,2021-S23,04,Réunion,Tous âges,2552.7192009,336.7003367,
2021-06-21,2021-S25,04,Réunion,00-14 ans,9188.5441527,4419.8895028,
2021-06-28,2021-S26,04,Réunion,65 ans ou plus,437.95620438,0.0,
2021-07-19,2021-S29,04,Réunion,00-14 ans,6259.7809077,3571.4285714,
2021-07-19,2021-S29,04,Réunion,15-64 ans,925.42188351,472.81323877,
2021-07-26,2021-S30,04,Réunion,00-14 ans,10677.966102,5882.3529412,
2021-07-26,2021-S30,04,Réunion,15-64 ans,686.89181454,0.0,
2021-07-26,2021-S30,04,Réunion,65 ans ou plus,0.0,0.0,
2021-07-26,2021-S30,04,Réunion,Tous âges,2537.2124493,773.19587629,
2021-08-09,2021-S32,04,Réunion,15-64 ans,947.60312152,241.54589372,
2021-08-30,2021-S35,04,Réunion,00-14 ans,6896.5517241,2836.8794326,
2021-08-30,2021-S35,04,Réunion,65 ans ou plus,0.0,0.0,
2021-09-06,2021-S36,04,Réunion,00-14 ans,7336.9565217,2325.5813953,
2021-09-06,2021-S36,04,Réunion,15-64 ans,269.97840173,252.52525253,
2021-09-13,2021-S37,04,Réunion,15-64 ans,374.93304767,227.7904328,
2021-09-20,2021-S38,04,Réunion,15-64 ans,505.33408198,244.49877751,
2021-09-20,2021-S38,04,Réunion,Tous âges,2325.5813953,844.39083233,
2024-05-13,2024-S20,03,Guyane,Tous âges,5052.3721503,904.97737557,
2024-05-20,2024-S21,03,Guyane,Tous âges,5772.5947522,1984.1269841,
2024-05-27,2024-S22,03,Guyane,65 ans ou plus,1851.8518519,0.0,
2024-05-27,2024-S22,03,Guyane,Tous âges,4300.1686341,526.31578947,
2024-06-03,2024-S23,03,Guyane,65 ans ou plus,2290.0763359,0.0,
2024-06-10,2024-S24,03,Guyane,00-14 ans,13836.477987,2325.5813953,
2024-06-17,2024-S25,03,Guyane,00-14 ans,17896.678967,6779.6610169,
2024-06-24,2024-S26,03,Guyane,00-14 ans,15368.421053,6250.0,
2024-06-24,2024-S26,03,Guyane,65 ans ou plus,1250.0,0.0,
2024-06-24,2024-S26,03,Guyane,Tous âges,6229.9293513,2000.0,
2024-07-01,2024-S27,03,Guyane,Tous âges,5179.2828685,1843.3179724,
2024-07-08,2024-S28,03,Guyane,15-64 ans,2497.1623156,0.0,
2024-07-15,2024-S29,03,Guyane,00-14 ans,14022.988506,5454.5454545,
2024-07-15,2024-S29,03,Guyane,65 ans ou plus,625.0,0.0,
2024-07-22,2024-S30,03,Guyane,15-64 ans,3298.9690722,0.0,
2024-07-22,2024-S30,03,Guyane,Tous âges,5296.3430013,0.0,
2024-10-14,2024-S42,03,Guyane,65 ans ou plus,0.0,0.0,
2024-10-21,2024-S43,03,Guyane,Tous âges,6774.3940336,1260.5042017,
2024-10-28,2024-S44,03,Guyane,Tous âges,6325.1106894,458.71559633,
2024-11-04,2024-S45,03,Guyane,65 ans ou plus,0.0,0.0,
2024-11-11,2024-S46,03,Guyane,15-64 ans,2599.814299,1481.4814815,
2024-11-18,2024-S47,03,Guyane,Tous âges,6971.8309859,3225.8064516,
2024-11-25,2024-S48,03,Guyane,15-64 ans,2468.0073126,662.25165563,
2024-12-02,2024-S49,03,Guyane,15-64 ans,1787.5920084,0.0,
2024-12-02,2024-S49,03,Guyane,65 ans ou plus,709.21985816,0.0,
2024-12-09,2024-S50,03,Guyane,65 ans ou plus,2027.027027,2631.5789474,
2024-12-23,2024-S52,03,Guyane,15-64 ans,3350.7853403,1379.3103448,
2024-12-23,2024-S52,03,Guyane,Tous âges,6551.2978986,2745.0980392,
2019-12-30,2020-S01,04,Réunion,Tous âges,2501.1579435,572.51908397,
2020-01-06,2020-S02,04,Réunion,15-64 ans,1358.1488934,460.82949309,
2020-01-13,2020-S03,04,Réunion,15-64 ans,703.87129211,0.0,
2020-01-20,2020-S04,04,Réunion,00-14 ans,10217.755444,2222.2222222,
2020-01-20,2020-S04,04,Réunion,15-64 ans,1685.0668216,1086.9565217,
2020-01-20,2020-S04,04,Réunion,65 ans ou plus,175.74692443,0.0,
2020-01-20,2020-S04,04,Réunion,Tous âges,3152.0609629,854.7008547,
2020-01-27,2020-S05,04,Réunion,15-64 ans,629.81105668,289.01734104,
2020-01-27,2020-S05,04,Réunion,Tous âges,3826.2255879,771.60493827,
2020-02-10,2020-S07,04,Réunion,15-64 ans,645.80228515,220.26431718,
2020-02-17,2020-S08,04,Réunion,00-14 ans,9025.6410256,5161.2903226,
2020-02-17,2020-S08,04,Réunion,65 ans ou plus,182.14936248,0.0,
2020-02-17,2020-S08,04,Réunion,Tous âges,2982.1073559,907.02947846,
2020-02-24,2020-S09,04,Réunion,15-64 ans,756.81130172,231.48148148,
2020-02-24,2020-S09,04,Réunion,65 ans ou plus,160.25641026,0.0,
2020-03-02,2020-S10,04,Réunion,00-14 ans,11864.40678,3614.4578313,
2020-03-02,2020-S10,04,Réunion,Tous âges,3804.0503558,732.98429319,
2020-03-16,2020-S12,04,Réunion,Tous âges,3051.4385353,1675.9776536,
2020-03-23,2020-S13,04,Réunion,65 ans ou plus,272.47956403,0.0,
2020-03-30,2020-S14,04,Réunion,65 ans ou plus,0.0,0.0,
2020-03-30,2020-S14,04,Réunion,Tous âges,1269.3156733,155.27950311,
2020-04-13,2020-S16,04,Réunion,15-64 ans,580.13052937,0.0,
2020-04-13,2020-S16,04,Réunion,65 ans ou plus,198.01980198,0.0,
2020-04-20,2020-S17,04,Réunion,00-14 ans,2830.1886792,1265.8227848,
2020-04-20,2020-S17,04,Réunion,65 ans ou plus,0.0,0.0,
2020-04-27,2020-S18,04,Réunion,15-64 ans,366.3003663,0.0,
2020-04-27,2020-S18,04,Réunion,65 ans ou plus,179.85611511,0.0,
2020-05-04,2020-S19,04,Réunion,15-64 ans,194.30051813,0.0,
2020-05-11,2020-S20,04,Réunion,00-14 ans,1781.1704835,1219.5121951,
2020-05-11,2020-S20,04,Réunion,65 ans ou plus,0.0,0.0,
2020-05-18,2020-S21,04,Réunion,00-14 ans,2583.9793282,2597.4025974,
2020-05-25,2020-S22,04,Réunion,65 ans ou plus,0.0,0.0,
2020-06-08,2020-S24,04,Réunion,65 ans ou plus,151.05740181,294.11764706,
2020-06-08,2020-S24,04,Réunion,Tous âges,591.06021426,229.35779817,
2020-06-15,2020-S25,04,Réunion,00-14 ans,1904.7619048,0.0,
2020-06-22,2020-S26,04,Réunion,15-64 ans,701.34424313,0.0,
2020-06-29,2020-S27,04,Réunion,15-64 ans,403.45821326,0.0,
2020-07-13,2020-S29,04,Réunion,15-64 ans,445.68245125,0.0,
2020-07-20,2020-S30,04,Réunion,Tous âges,1220.7882804,114.41647597,
2020-07-27,2020-S31,04,Réunion,00-14 ans,2409.6385542,2127.6595745,
2020-07-27,2020-S31,04,Réunion,15-64 ans,901.44230769,458.71559633,
2020-08-10,2020-S33,04,Réunion,00-14 ans,4402.5157233,5747.1264368,
2020-08-17,2020-S34,04,Réunion,15-64 ans,822.56169213,0.0,
2020-08-17,2020-S34,04,Réunion,65 ans ou plus,0.0,0.0,
