1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour pneumopathie,Taux d'hospitalisations après passages aux urgences pour pneumopathie,Taux d'actes médicaux SOS médecins pour pneumopathie
2023-08-28,2023-S35,28,Normandie,Tous âges,1252.5885146,3915.1712887,1146.0720984
2023-09-04,2023-S36,28,Normandie,00-04 ans,643.77682403,0.0,690.60773481
2023-09-04,2023-S36,28,Normandie,Tous âges,1179.1774518,3705.6098816,851.99128195
2023-09-11,2023-S37,28,Normandie,00-04 ans,949.36708861,3137.254902,795.22862823
2023-09-18,2023-S38,28,Normandie,05-14 ans,764.81835564,2941.1764706,1226.309922
2023-09-18,2023-S38,28,Normandie,65 ans ou plus,3103.4482759,5706.8062827,4871.7948718
2023-09-25,2023-S39,28,Normandie,00-04 ans,1222.9922544,2100.8403361,936.17021277
2023-09-25,2023-S39,28,Normandie,65 ans ou plus,3203.6163522,5941.591138,3439.8034398
2023-10-02,2023-S40,28,Normandie,00-04 ans,1345.8401305,4453.4412955,2048.857368
2023-10-02,2023-S40,28,Normandie,Tous âges,1383.5544693,4833.2019963,1500.0
2023-10-09,2023-S41,28,Normandie,65 ans ou plus,3364.7105948,6253.3121357,3703.7037037
2023-10-16,2023-S42,28,Normandie,15-64 ans,962.21751412,2945.4022989,786.54732845
2023-10-16,2023-S42,28,Normandie,Tous âges,1830.6111213,5137.6146789,1669.2913386
2023-10-23,2023-S43,28,Normandie,Tous âges,2039.4387927,5211.3799521,2041.1469302
2023-10-30,2023-S44,28,Normandie,65 ans ou plus,4133.3865815,7195.6628881,3795.0664137
2023-11-13,2023-S46,28,Normandie,65 ans ou plus,3801.3488657,6704.19652,5700.7125891
2023-11-20,2023-S47,28,Normandie,00-04 ans,3255.0240589,4761.9047619,4030.2267003
2023-11-20,2023-S47,28,Normandie,Tous âges,2338.7062294,5620.9464329,2514.1326986
2023-12-11,2023-S50,28,Normandie,00-04 ans,3573.8142953,5706.5217391,2654.8672566
2023-12-11,2023-S50,28,Normandie,65 ans ou plus,4021.04472,6607.3102156,6720.9775967
2023-12-18,2023-S51,28,Normandie,00-04 ans,3094.5757997,5312.5,3269.0695725
2023-12-18,2023-S51,28,Normandie,15-64 ans,1781.33836,4535.3159851,2256.6255576
2023-12-25,2023-S52,28,Normandie,05-14 ans,5191.8735892,7734.8066298,7156.8627451
2024-01-01,2024-S01,28,Normandie,15-64 ans,1683.650864,5378.6270347,2753.8314176
2024-01-01,2024-S01,28,Normandie,Tous âges,3471.2762459,8765.4320988,4000.0
2024-01-08,2024-S02,28,Normandie,15-64 ans,1485.0548619,4264.7058824,1733.6864917
2024-01-15,2024-S03,28,Normandie,00-04 ans,2374.9368368,2870.8133971,1610.3059581
2024-01-15,2024-S03,28,Normandie,05-14 ans,2397.1234519,6315.7894737,3030.3030303
2024-01-15,2024-S03,28,Normandie,65 ans ou plus,4488.363502,7076.1014686,8924.4851259
2024-01-22,2024-S04,28,Normandie,Tous âges,2169.4674135,5535.4993983,2539.4646534
2024-01-29,2024-S05,28,Normandie,05-14 ans,1333.3333333,3167.4208145,2407.7046549
2024-01-29,2024-S05,28,Normandie,65 ans ou plus,4293.520687,7026.2246413,8373.2057416
2024-02-05,2024-S06,28,Normandie,00-04 ans,2006.6889632,3000.0,3221.2885154
2024-02-19,2024-S08,28,Normandie,65 ans ou plus,4041.4297319,7300.0,7990.31477
2024-02-26,2024-S09,28,Normandie,05-14 ans,1225.7405516,1379.3103448,3494.6236559
2024-03-04,2024-S10,28,Normandie,00-04 ans,2290.0763359,3891.0505837,2445.9078081
2024-03-04,2024-S10,28,Normandie,Tous âges,2188.2376082,5559.6738325,2396.4786436
2024-03-11,2024-S11,28,Normandie,00-04 ans,1856.1484919,4980.8429119,2556.8181818
2024-03-11,2024-S11,28,Normandie,15-64 ans,950.42383766,2996.2546816,1337.7926421
2024-03-11,2024-S11,28,Normandie,65 ans ou plus,4197.8715018,8025.6031512,5210.4208417
2024-03-25,2024-S13,28,Normandie,00-04 ans,1255.4112554,1127.8195489,1011.8043845
2024-03-25,2024-S13,28,Normandie,05-14 ans,589.44886531,1470.5882353,1350.048216
2024-04-01,2024-S14,28,Normandie,00-04 ans,1670.9511568,4137.9310345,2550.6376594
2024-04-01,2024-S14,28,Normandie,15-64 ans,697.7323698,2418.3006536,1360.8748481
2024-04-01,2024-S14,28,Normandie,Tous âges,1563.8689329,5315.9478435,2111.977321
2024-04-08,2024-S15,28,Normandie,05-14 ans,793.02141158,884.95575221,1101.9283747
2024-04-15,2024-S16,28,Normandie,00-04 ans,1170.0793982,1079.1366906,1492.5373134
2024-04-15,2024-S16,28,Normandie,05-14 ans,510.81730769,1315.7894737,2127.6595745
2024-04-15,2024-S16,28,Normandie,65 ans ou plus,4891.5187377,8854.9618321,6744.1860465
2024-04-15,2024-S16,28,Normandie,Tous âges,1711.026616,5563.9097744,1924.2333133
2024-04-22,2024-S17,28,Normandie,00-04 ans,2093.3275185,4270.4626335,1267.9628064
2024-04-22,2024-S17,28,Normandie,Tous âges,1749.9142199,5001.2956725,1766.9531996
2024-04-29,2024-S18,28,Normandie,15-64 ans,1044.9417422,4094.8275862,1144.5302103
2024-04-29,2024-S18,28,Normandie,Tous âges,1891.6805162,6281.0782518,1706.316653
2024-05-06,2024-S19,28,Normandie,00-04 ans,1043.1484116,2242.1524664,1668.1299385
2024-05-06,2024-S19,28,Normandie,05-14 ans,428.87776984,581.39534884,1836.9690011
2024-05-06,2024-S19,28,Normandie,Tous âges,1599.8197386,5020.3873598,2118.3234983
