1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour traumatisme,Taux d'hospitalisations après passages aux urgences pour traumatisme,Taux d'actes médicaux SOS médecins pour traumatisme
2020-11-16,2020-S47,52,Pays de la Loire,65 ans ou plus,23273.381295,18115.41271,11851.851852
2020-11-23,2020-S48,52,Pays de la Loire,00-14 ans,49054.113506,22648.083624,9367.0886076
2020-11-23,2020-S48,52,Pays de la Loire,15-64 ans,32412.423257,20554.06613,7602.6977315
2020-11-23,2020-S48,52,Pays de la Loire,65 ans ou plus,23658.454269,19562.146893,10863.095238
2020-11-23,2020-S48,52,Pays de la Loire,Tous âges,33515.871543,20269.312544,8770.8066581
2020-12-14,2020-S51,52,Pays de la Loire,Tous âges,31583.629893,18874.519399,7926.0651629
2020-12-21,2020-S52,52,Pays de la Loire,65 ans ou plus,24031.240613,19278.688525,11592.505855
2020-12-28,2020-S53,52,Pays de la Loire,65 ans ou plus,22362.291039,16125.07664,6562.8476085
2020-12-28,2020-S53,52,Pays de la Loire,Tous âges,30307.238327,17976.391231,6255.0992657
2021-01-11,2021-S02,52,Pays de la Loire,Tous âges,31174.220848,18722.044728,6987.2476089
2021-01-18,2021-S03,52,Pays de la Loire,00-14 ans,42709.984152,14935.064935,3445.3781513
2021-01-18,2021-S03,52,Pays de la Loire,Tous âges,29304.991641,16759.776536,6341.0685375
2021-01-25,2021-S04,52,Pays de la Loire,15-64 ans,30758.041054,20314.842579,5412.6473741
2021-02-08,2021-S06,52,Pays de la Loire,00-14 ans,42057.188245,19687.5,3565.8914729
2021-02-15,2021-S07,52,Pays de la Loire,Tous âges,30472.404116,17849.395724,6068.7960688
2021-02-22,2021-S08,52,Pays de la Loire,15-64 ans,31896.159101,20676.100629,6574.0245858
2021-02-22,2021-S08,52,Pays de la Loire,65 ans ou plus,23936.919178,18998.048146,10212.201592
2021-03-01,2021-S09,52,Pays de la Loire,00-14 ans,43781.512605,19817.073171,4333.6944745
2021-03-01,2021-S09,52,Pays de la Loire,15-64 ans,32022.648632,19935.948759,7442.8495481
2021-03-15,2021-S11,52,Pays de la Loire,Tous âges,32114.251171,17949.488876,7612.0959333
2021-03-22,2021-S12,52,Pays de la Loire,Tous âges,32763.47111,17490.604221,7948.7179487
2021-03-29,2021-S13,52,Pays de la Loire,15-64 ans,32640.53564,19244.226732,7392.8043371
2021-03-29,2021-S13,52,Pays de la Loire,65 ans ou plus,22344.420601,16889.924287,12664.907652
2021-03-29,2021-S13,52,Pays de la Loire,Tous âges,32762.991128,17867.113345,7714.6311971
2021-04-19,2021-S16,52,Pays de la Loire,00-14 ans,53006.08828,27520.435967,12727.272727
2021-04-26,2021-S17,52,Pays de la Loire,Tous âges,34123.187322,18029.850746,10399.512046
2021-05-03,2021-S18,52,Pays de la Loire,00-14 ans,48645.720477,19505.494505,10746.606335
2021-05-03,2021-S18,52,Pays de la Loire,15-64 ans,32293.157744,21402.214022,9272.918862
2021-05-03,2021-S18,52,Pays de la Loire,Tous âges,32853.501275,18839.712919,9829.1795015
2021-05-10,2021-S19,52,Pays de la Loire,15-64 ans,31797.362942,21136.363636,7719.654647
2021-05-10,2021-S19,52,Pays de la Loire,65 ans ou plus,20593.896068,16847.47926,10424.242424
2021-05-24,2021-S21,52,Pays de la Loire,15-64 ans,34626.865672,21305.595409,7774.6741155
2021-06-07,2021-S23,52,Pays de la Loire,15-64 ans,36248.339171,24449.182658,8914.3426295
2021-06-07,2021-S23,52,Pays de la Loire,Tous âges,35040.707738,19893.742621,9093.2311622
2021-06-14,2021-S24,52,Pays de la Loire,00-14 ans,45004.344049,23095.238095,5754.141238
2021-06-21,2021-S25,52,Pays de la Loire,Tous âges,34787.031151,20167.314013,7600.4872107
2021-06-28,2021-S26,52,Pays de la Loire,00-14 ans,47851.420248,26086.956522,5202.3121387
2021-06-28,2021-S26,52,Pays de la Loire,15-64 ans,33612.059828,22922.848665,7941.0366144
2021-06-28,2021-S26,52,Pays de la Loire,Tous âges,34004.503908,21989.860583,7868.453106
2021-07-05,2021-S27,52,Pays de la Loire,65 ans ou plus,22927.824535,15672.131148,9641.5327565
2021-07-05,2021-S27,52,Pays de la Loire,Tous âges,33052.84416,18869.672637,7310.0120627
2021-07-12,2021-S28,52,Pays de la Loire,00-14 ans,42672.81106,22107.969152,3067.4846626
2021-07-12,2021-S28,52,Pays de la Loire,15-64 ans,34968.523578,20175.438596,6273.0627306
2021-07-12,2021-S28,52,Pays de la Loire,65 ans ou plus,23778.664008,17696.267696,9963.9855942
2021-07-19,2021-S29,52,Pays de la Loire,00-14 ans,39908.705575,18801.089918,4147.4654378
2021-07-19,2021-S29,52,Pays de la Loire,Tous âges,33527.47531,21782.178218,7293.2717001
2021-07-26,2021-S30,52,Pays de la Loire,00-14 ans,42791.461412,26764.705882,6340.0576369
2021-08-02,2021-S31,52,Pays de la Loire,00-14 ans,46031.112884,27652.733119,5114.638448
2021-08-02,2021-S31,52,Pays de la Loire,15-64 ans,33426.787307,20823.244552,6289.3081761
2021-08-16,2021-S33,52,Pays de la Loire,15-64 ans,34666.502584,20280.235988,6494.140625
2021-08-16,2021-S33,52,Pays de la Loire,65 ans ou plus,25555.258229,18117.977528,12516.129032
2021-08-23,2021-S34,52,Pays de la Loire,65 ans ou plus,26186.009113,18538.565629,9137.0558376
2021-08-30,2021-S35,52,Pays de la Loire,00-14 ans,48289.136014,23024.054983,8732.3943662
2021-08-30,2021-S35,52,Pays de la Loire,Tous âges,35189.657622,20721.003135,8474.5762712
2021-09-06,2021-S36,52,Pays de la Loire,00-14 ans,48952.513966,23291.925466,8381.1710677
2021-09-06,2021-S36,52,Pays de la Loire,15-64 ans,36365.781711,21645.021645,7420.9245742
2021-09-06,2021-S36,52,Pays de la Loire,65 ans ou plus,24468.3644,17394.179894,11360.799001
2021-09-06,2021-S36,52,Pays de la Loire,Tous âges,35753.894904,19813.664596,8335.3122774
2021-09-13,2021-S37,52,Pays de la Loire,15-64 ans,35002.925688,18945.868946,7808.9113459
2021-09-20,2021-S38,52,Pays de la Loire,00-14 ans,45219.482862,17380.352645,4738.5620915
